epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.532,1.31784,2.14912,1.42891,0.93214,0.56081,0.90676,0.63461,0.92446,2.57173,0.98305,0.00038,0.00038,0.00038
2,584.444,1.25389,1.46673,1.32501,0.91533,0.88255,0.93291,0.70361,0.84188,1.75255,1.05717,0.000772278,0.000772278,0.000772278
3,868.553,1.31333,1.48746,1.3893,0.82105,0.67347,0.79708,0.46883,1.14122,1.95027,1.14936,0.00115664,0.00115664,0.00115664
4,1151.95,1.2992,1.37006,1.36105,0.79526,0.67347,0.77584,0.45025,1.36931,2.02437,1.30341,0.00153307,0.00153307,0.00153307
5,1441.02,1.34193,1.34571,1.37855,0.59056,0.53061,0.49729,0.24524,1.55376,3.39832,1.42443,0.00190159,0.00190159,0.00190159
6,1719.71,1.31613,1.29059,1.35875,0.28431,0.46939,0.30382,0.12737,1.81811,9.42974,1.95311,0.001901,0.001901,0.001901
7,2001.61,1.35627,1.24869,1.39927,0.60362,0.81633,0.7322,0.49306,1.08559,2.85933,1.17542,0.0018812,0.0018812,0.0018812
8,2290.14,1.29069,1.17323,1.3615,0.76444,0.73469,0.76137,0.59673,0.89042,2.29282,1.04042,0.0018614,0.0018614,0.0018614
9,2574.31,1.3225,1.15841,1.40788,0.73284,0.83975,0.83385,0.56744,1.15508,1.96713,1.1425,0.0018416,0.0018416,0.0018416
10,2860,1.34975,1.1861,1.39795,0.95428,0.85203,0.93476,0.60102,1.16819,1.24801,1.13155,0.0018218,0.0018218,0.0018218
11,3144.55,1.32402,1.03934,1.36293,0.72101,0.73843,0.78251,0.49579,1.3346,2.2514,1.3245,0.001802,0.001802,0.001802
12,3431.64,1.31397,1.04032,1.34441,0.79669,0.87972,0.88944,0.61323,1.16058,1.46315,1.11221,0.0017822,0.0017822,0.0017822
13,3718.04,1.24393,0.98646,1.3324,0.75068,0.83673,0.84462,0.5939,0.96899,1.44664,1.06987,0.0017624,0.0017624,0.0017624
14,4003.74,1.17696,0.92531,1.25907,0.92118,0.95415,0.94921,0.68281,1.01886,0.94124,1.02194,0.0017426,0.0017426,0.0017426
15,4288.22,1.20664,0.91223,1.29294,0.94085,0.97392,0.95328,0.73228,0.84024,0.77593,0.96357,0.0017228,0.0017228,0.0017228
16,4569.35,1.23189,0.93394,1.32239,0.87985,0.89673,0.9191,0.58257,1.25195,0.91505,1.14171,0.001703,0.001703,0.001703
17,4848.48,1.20982,0.86586,1.31154,0.96294,0.93878,0.95647,0.69868,1.00847,0.76239,1.04911,0.0016832,0.0016832,0.0016832
18,5132.31,1.19553,0.82531,1.27995,0.9582,0.93561,0.95652,0.66713,0.97245,0.70469,0.99637,0.0016634,0.0016634,0.0016634
19,5420.57,1.19154,0.84406,1.28004,0.90168,0.93583,0.95389,0.74825,0.74428,0.8168,0.95984,0.0016436,0.0016436,0.0016436
20,5705.7,1.15544,0.81674,1.27055,0.88785,0.93878,0.93121,0.78048,0.67525,0.77662,0.90472,0.0016238,0.0016238,0.0016238
21,5990.45,1.18407,0.83436,1.26468,0.80269,0.9133,0.9019,0.68202,0.81078,0.85549,0.96516,0.001604,0.001604,0.001604
22,6270.35,1.15174,0.79543,1.25832,0.88749,0.96596,0.91748,0.76941,0.70984,0.72256,0.92297,0.0015842,0.0015842,0.0015842
23,6548.32,1.11463,0.75067,1.24038,0.93809,0.92778,0.93441,0.70191,0.93873,0.68568,1.0016,0.0015644,0.0015644,0.0015644
24,6832.15,1.06877,0.7346,1.19789,0.92279,0.9757,0.92905,0.77875,0.66331,0.62444,0.90629,0.0015446,0.0015446,0.0015446
25,7118.35,1.11109,0.74891,1.2445,0.79584,0.95472,0.91823,0.77226,0.66377,0.67973,0.90194,0.0015248,0.0015248,0.0015248
26,7403.81,1.12952,0.76596,1.24095,0.86921,0.97959,0.9351,0.75001,0.8177,0.65637,0.93862,0.001505,0.001505,0.001505
27,7692.67,1.11477,0.75713,1.23581,0.91944,0.95918,0.9388,0.79999,0.60898,0.6069,0.87639,0.0014852,0.0014852,0.0014852
28,7978.2,1.11604,0.74796,1.21897,0.91321,0.93878,0.95158,0.68595,0.78944,0.64283,0.94764,0.0014654,0.0014654,0.0014654
29,8263.24,1.1141,0.72438,1.25002,0.91749,0.9079,0.9545,0.8126,0.61846,0.638,0.88683,0.0014456,0.0014456,0.0014456
30,8548.89,1.09211,0.71683,1.22367,0.95815,0.93455,0.95652,0.76762,0.73985,0.71305,0.91286,0.0014258,0.0014258,0.0014258
31,8834.35,1.12185,0.73876,1.25945,0.86876,0.94575,0.92967,0.77438,0.64292,0.7371,0.881,0.001406,0.001406,0.001406
32,9114.34,1.06862,0.68882,1.22516,0.93677,0.95918,0.94435,0.77527,0.68857,0.56658,0.90844,0.0013862,0.0013862,0.0013862
33,9393.74,1.04824,0.66979,1.20543,0.95655,0.93878,0.94017,0.84032,0.60465,0.5435,0.85427,0.0013664,0.0013664,0.0013664
34,9678.24,1.08387,0.69494,1.21813,0.93961,0.95263,0.95317,0.81346,0.66959,0.57294,0.87972,0.0013466,0.0013466,0.0013466
35,9965.35,1.05328,0.68835,1.2147,0.95982,0.97516,0.95987,0.82504,0.65201,0.4776,0.86944,0.0013268,0.0013268,0.0013268
36,10251.8,1.04627,0.6715,1.21595,0.95977,0.97395,0.96718,0.86338,0.52517,0.47724,0.83828,0.001307,0.001307,0.001307
37,10538.6,0.98714,0.66567,1.17844,0.94479,0.91837,0.95509,0.80074,0.62749,0.5515,0.86207,0.0012872,0.0012872,0.0012872
38,10822.3,0.99629,0.64694,1.18587,0.97352,0.95918,0.95675,0.83003,0.57175,0.50634,0.85166,0.0012674,0.0012674,0.0012674
39,11107.4,0.95241,0.61895,1.17705,0.9599,0.97711,0.97292,0.84361,0.54532,0.46433,0.843,0.0012476,0.0012476,0.0012476
40,11392,1.00332,0.64993,1.16664,0.952,0.93878,0.96533,0.83922,0.60199,0.48869,0.86043,0.0012278,0.0012278,0.0012278
41,11673.7,0.98813,0.61061,1.18585,0.97641,0.95918,0.96883,0.82717,0.63647,0.48753,0.85603,0.001208,0.001208,0.001208
42,11950.8,0.9774,0.62186,1.17641,0.94063,0.97959,0.94511,0.84668,0.48617,0.47042,0.83048,0.0011882,0.0011882,0.0011882
43,12236.4,0.99264,0.62989,1.17171,0.94114,0.97904,0.94473,0.85913,0.47465,0.46524,0.83762,0.0011684,0.0011684,0.0011684
44,12520.8,0.97702,0.60895,1.16138,0.95994,0.97798,0.97181,0.88869,0.4821,0.42993,0.83037,0.0011486,0.0011486,0.0011486
45,12807,0.91399,0.61027,1.12575,0.96697,0.95918,0.97201,0.89521,0.45634,0.44181,0.81004,0.0011288,0.0011288,0.0011288
46,13091.8,0.98051,0.59502,1.17518,0.9751,0.95918,0.97292,0.88211,0.50113,0.44451,0.8218,0.001109,0.001109,0.001109
47,13377.9,0.89821,0.60513,1.12116,0.96291,0.91837,0.9721,0.81037,0.62097,0.50833,0.86763,0.0010892,0.0010892,0.0010892
48,13666.6,0.94152,0.58692,1.13926,0.9587,0.95918,0.96895,0.84353,0.56921,0.47542,0.84149,0.0010694,0.0010694,0.0010694
49,13950.3,0.92932,0.60362,1.15979,0.94117,0.97944,0.97091,0.86874,0.51381,0.43344,0.82339,0.0010496,0.0010496,0.0010496
50,14232.2,0.88615,0.56789,1.12241,0.95447,0.95918,0.95969,0.83794,0.55583,0.44395,0.83054,0.0010298,0.0010298,0.0010298
51,14512,0.93051,0.58421,1.12905,0.93943,0.91837,0.94774,0.8533,0.4707,0.45999,0.81706,0.00101,0.00101,0.00101
52,14796.5,0.91689,0.56897,1.13062,0.92265,0.97384,0.96029,0.8426,0.55849,0.44906,0.84391,0.0009902,0.0009902,0.0009902
53,15079.2,0.89045,0.53512,1.12227,0.93923,0.97959,0.96744,0.87469,0.48657,0.42415,0.82431,0.0009704,0.0009704,0.0009704
54,15359.8,0.87992,0.5615,1.11051,0.90703,0.99554,0.96719,0.87101,0.45877,0.46524,0.80567,0.0009506,0.0009506,0.0009506
55,15636.5,0.88528,0.5451,1.12338,0.95891,0.95272,0.96922,0.89028,0.46635,0.43623,0.80267,0.0009308,0.0009308,0.0009308
56,15921,0.8892,0.53982,1.11193,0.97312,0.95918,0.97069,0.87615,0.50562,0.44398,0.82049,0.000911,0.000911,0.000911
57,16202.2,0.83781,0.5597,1.09305,0.93998,0.95887,0.96625,0.88006,0.44707,0.4276,0.80432,0.0008912,0.0008912,0.0008912
58,16479.2,0.87727,0.54637,1.1122,0.94138,0.93878,0.96369,0.8577,0.50793,0.43782,0.82537,0.0008714,0.0008714,0.0008714
59,16762.1,0.83215,0.53172,1.10626,0.91231,0.95918,0.96118,0.87966,0.49039,0.46634,0.81056,0.0008516,0.0008516,0.0008516
60,17039.4,0.82393,0.50605,1.08032,0.93925,0.9466,0.97143,0.89276,0.46512,0.45855,0.80745,0.0008318,0.0008318,0.0008318
61,17320.3,0.86583,0.54218,1.1081,0.96403,0.95918,0.96965,0.88231,0.46429,0.40998,0.80288,0.000812,0.000812,0.000812
62,17598.2,0.88328,0.53728,1.11581,0.95244,0.95918,0.97097,0.91611,0.40631,0.41067,0.78995,0.0007922,0.0007922,0.0007922
63,17878.4,0.83786,0.52332,1.10611,0.9202,0.95918,0.97226,0.87991,0.46963,0.42937,0.81261,0.0007724,0.0007724,0.0007724
64,18162.8,0.81336,0.51981,1.06992,0.91728,0.95918,0.9657,0.87145,0.47462,0.45154,0.80427,0.0007526,0.0007526,0.0007526
65,18439.2,0.80309,0.51214,1.0897,0.88673,0.95863,0.95988,0.88928,0.44856,0.48386,0.80102,0.0007328,0.0007328,0.0007328
66,18721,0.77951,0.50653,1.06461,0.955,0.91837,0.96901,0.89422,0.43558,0.44695,0.79665,0.000713,0.000713,0.000713
67,18994.8,0.80045,0.50217,1.08093,0.93808,0.92765,0.97624,0.90137,0.42325,0.41834,0.79605,0.0006932,0.0006932,0.0006932
68,19274.1,0.80036,0.50305,1.08012,0.91424,0.93878,0.9638,0.90959,0.39856,0.43257,0.78971,0.0006734,0.0006734,0.0006734
69,19548.2,0.78383,0.50203,1.07275,0.86837,0.97959,0.97081,0.9002,0.40767,0.44762,0.79397,0.0006536,0.0006536,0.0006536
70,19828.6,0.74428,0.48387,1.05963,0.86672,0.97959,0.97143,0.89921,0.38401,0.42193,0.78731,0.0006338,0.0006338,0.0006338
71,20104.1,0.74447,0.50262,1.05962,0.93831,0.93127,0.97376,0.89543,0.42888,0.4114,0.78963,0.000614,0.000614,0.000614
72,20392,0.75695,0.47796,1.07083,0.93674,0.95918,0.96846,0.90424,0.39366,0.39844,0.79362,0.0005942,0.0005942,0.0005942
73,20676.4,0.74478,0.46857,1.05502,0.93928,0.95918,0.9663,0.90725,0.3742,0.4061,0.78831,0.0005744,0.0005744,0.0005744
74,20959.3,0.7538,0.45511,1.0537,0.93968,0.95388,0.97431,0.91631,0.35958,0.40067,0.78439,0.0005546,0.0005546,0.0005546
75,21244.8,0.72871,0.45378,1.03669,0.93139,0.95918,0.97652,0.92487,0.38738,0.37358,0.79328,0.0005348,0.0005348,0.0005348
76,21529.6,0.79196,0.47364,1.07401,0.92519,0.95918,0.97424,0.91727,0.37093,0.35803,0.78679,0.000515,0.000515,0.000515
77,21806.3,0.74276,0.45661,1.05146,0.92068,0.95918,0.9675,0.9004,0.39469,0.39174,0.78986,0.0004952,0.0004952,0.0004952
78,22089.1,0.7415,0.45282,1.05301,0.93589,0.95918,0.97396,0.92238,0.34925,0.3557,0.77216,0.0004754,0.0004754,0.0004754
79,22373.3,0.7086,0.43079,1.03459,0.93644,0.95918,0.97135,0.92267,0.35327,0.36747,0.77744,0.0004556,0.0004556,0.0004556
80,22658,0.74363,0.45813,1.07056,0.93576,0.95918,0.97408,0.92519,0.33062,0.37209,0.77088,0.0004358,0.0004358,0.0004358
81,22935.4,0.72215,0.44893,1.05938,0.89025,0.99336,0.96903,0.91706,0.35282,0.3778,0.77971,0.000416,0.000416,0.000416
82,23214.7,0.7123,0.43202,1.04238,0.89073,0.99816,0.96565,0.90885,0.37283,0.36545,0.78288,0.0003962,0.0003962,0.0003962
83,23498.2,0.71796,0.44459,1.05333,0.9388,0.95918,0.97287,0.9184,0.35878,0.36402,0.7802,0.0003764,0.0003764,0.0003764
84,23784,0.69653,0.42021,1.04685,0.95073,0.95918,0.97562,0.92508,0.35519,0.35985,0.78022,0.0003566,0.0003566,0.0003566
85,24069.5,0.72201,0.43997,1.05258,0.94792,0.95918,0.9722,0.92871,0.3373,0.36069,0.77606,0.0003368,0.0003368,0.0003368
