epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3377,1.60228,2.12672,1.58227,0.71127,0.46296,0.57304,0.28258,1.54633,2.36813,1.44842,0.000648148,0.000648148,0.000648148
2,32.8792,1.42324,1.48551,1.42333,0.35876,0.59057,0.37149,0.15226,1.8615,3.23161,1.86528,0.0013018,0.0013018,0.0013018
3,43.5705,1.49005,1.44175,1.49415,0.59559,0.69444,0.64663,0.35447,1.538,1.77364,1.43017,0.00194225,0.00194225,0.00194225
4,56.7477,1.46104,1.32279,1.46165,0.79701,0.77778,0.86285,0.53668,1.27452,1.59217,1.24603,0.0019406,0.0019406,0.0019406
5,69.9476,1.39982,1.20974,1.43369,0.46757,0.42593,0.44809,0.22697,1.56639,3.30306,1.55621,0.0019208,0.0019208,0.0019208
6,80.9183,1.35311,1.12447,1.39414,0.50462,0.49046,0.44074,0.23646,1.61597,1.80283,1.52197,0.001901,0.001901,0.001901
7,92.7933,1.34149,1.0455,1.37712,0.82903,0.80817,0.86411,0.55285,1.27019,1.32804,1.24214,0.0018812,0.0018812,0.0018812
8,105.706,1.36149,1.03599,1.39347,0.84175,0.88651,0.90878,0.59781,1.18543,0.91725,1.16911,0.0018614,0.0018614,0.0018614
9,118.719,1.30301,0.95723,1.34668,0.92499,0.91344,0.9632,0.55739,1.32902,1.21183,1.26713,0.0018416,0.0018416,0.0018416
10,128.764,1.30129,0.91184,1.34807,0.6658,0.63889,0.70037,0.45607,1.35247,1.33521,1.3719,0.0018218,0.0018218,0.0018218
11,141.656,1.26726,0.89406,1.33037,0.89418,0.96296,0.97851,0.72875,0.96404,0.74792,1.07462,0.001802,0.001802,0.001802
12,154.228,1.29914,0.90917,1.34722,0.71878,0.91667,0.85307,0.52728,1.27931,1.2765,1.21785,0.0017822,0.0017822,0.0017822
13,165.669,1.21024,0.81226,1.32579,0.9086,0.97222,0.97482,0.68014,1.02016,0.6229,1.07664,0.0017624,0.0017624,0.0017624
14,176.679,1.21386,0.81234,1.30005,0.97226,0.94444,0.98299,0.7412,0.87413,0.63344,1.02707,0.0017426,0.0017426,0.0017426
15,189.82,1.23774,0.81081,1.32221,0.95437,0.96823,0.97351,0.69664,1.0086,0.60919,1.07464,0.0017228,0.0017228,0.0017228
16,202.634,1.21818,0.81314,1.30278,0.91516,0.89897,0.9633,0.62445,1.14219,0.73216,1.12226,0.001703,0.001703,0.001703
17,212.944,1.1632,0.74907,1.26749,0.89348,0.97222,0.97136,0.68498,1.00457,0.63023,1.06854,0.0016832,0.0016832,0.0016832
18,225.642,1.17185,0.74461,1.28315,0.95159,0.92593,0.971,0.69452,0.97226,0.62472,1.08035,0.0016634,0.0016634,0.0016634
19,238.835,1.22014,0.7552,1.31556,0.90033,0.92001,0.94873,0.67848,0.9577,0.71911,1.07018,0.0016436,0.0016436,0.0016436
20,250.026,1.17344,0.73401,1.27271,0.91183,0.87963,0.93303,0.66358,0.97429,0.79033,1.06953,0.0016238,0.0016238,0.0016238
21,261.668,1.1521,0.73136,1.28421,0.96508,0.96296,0.98636,0.69959,1.01827,0.58572,1.07493,0.001604,0.001604,0.001604
22,274.636,1.14339,0.71668,1.26518,0.96993,0.98148,0.98386,0.74275,0.91083,0.51978,1.01787,0.0015842,0.0015842,0.0015842
23,287.128,1.09286,0.68538,1.24133,0.97256,0.98465,0.98706,0.74185,0.86399,0.48865,1.00307,0.0015644,0.0015644,0.0015644
24,297.741,1.08152,0.67753,1.22868,0.92076,0.97222,0.97719,0.72358,0.88787,0.55454,1.02243,0.0015446,0.0015446,0.0015446
25,310.887,1.12592,0.71444,1.25898,0.9534,0.94444,0.98387,0.74414,0.89828,0.60889,1.04482,0.0015248,0.0015248,0.0015248
26,323.942,1.10274,0.66656,1.23947,0.97211,0.96833,0.98782,0.73911,0.88031,0.49886,1.01531,0.001505,0.001505,0.001505
27,334.732,1.139,0.66118,1.25193,0.96328,0.98148,0.98169,0.73886,0.91528,0.51384,1.04411,0.0014852,0.0014852,0.0014852
28,346.82,1.1048,0.6947,1.23891,0.90266,0.97222,0.97594,0.74714,0.88697,0.52307,1.04254,0.0014654,0.0014654,0.0014654
29,359.498,1.07335,0.66351,1.22887,0.9187,0.92593,0.951,0.70101,0.92215,0.58632,1.06743,0.0014456,0.0014456,0.0014456
30,372.081,1.05295,0.66368,1.22,0.9688,0.98148,0.98474,0.77594,0.82595,0.46179,0.99497,0.0014258,0.0014258,0.0014258
31,382.567,1.05452,0.62845,1.21779,0.98148,0.98124,0.98569,0.68199,1.08991,0.50563,1.07556,0.001406,0.001406,0.001406
32,395.34,1.04069,0.60439,1.19944,0.91478,0.96296,0.96558,0.70745,0.93917,0.56409,1.05245,0.0013862,0.0013862,0.0013862
33,408.647,1.01775,0.62291,1.19846,0.94284,0.99074,0.98342,0.75833,0.82141,0.46016,1.01409,0.0013664,0.0013664,0.0013664
34,419.384,1.05847,0.62684,1.22814,0.95486,0.97934,0.98217,0.74435,0.83762,0.49726,1.01231,0.0013466,0.0013466,0.0013466
35,432.074,1.03783,0.61599,1.19875,0.98033,0.99074,0.98038,0.67717,1.0425,0.49182,1.09744,0.0013268,0.0013268,0.0013268
36,445.241,1.00496,0.58507,1.18373,0.96967,0.99074,0.96882,0.7585,0.78591,0.4563,0.99242,0.001307,0.001307,0.001307
37,456.508,0.97358,0.59385,1.16594,0.97814,0.97222,0.98402,0.76492,0.79597,0.4358,0.98017,0.0012872,0.0012872,0.0012872
38,467.892,1.02016,0.59743,1.17706,0.97106,0.99074,0.98504,0.78305,0.77339,0.42564,0.9887,0.0012674,0.0012674,0.0012674
39,481.019,1.03021,0.59802,1.18415,0.91051,0.98148,0.97331,0.76046,0.81777,0.49971,0.99372,0.0012476,0.0012476,0.0012476
40,494.087,0.98616,0.58188,1.17481,0.97101,0.96296,0.98764,0.77403,0.79599,0.45522,0.99821,0.0012278,0.0012278,0.0012278
41,504.625,0.95525,0.57034,1.14872,0.95634,0.97222,0.98686,0.77497,0.81112,0.45821,0.99617,0.001208,0.001208,0.001208
42,517.544,0.98124,0.56693,1.17066,0.978,0.99074,0.99049,0.76955,0.76671,0.41933,0.96625,0.0011882,0.0011882,0.0011882
43,530.844,0.98986,0.58097,1.1762,0.98146,0.98051,0.98569,0.75118,0.78686,0.45306,0.99084,0.0011684,0.0011684,0.0011684
44,541.921,0.97827,0.5748,1.17439,0.96392,0.98951,0.98539,0.77847,0.76384,0.44147,0.9766,0.0011486,0.0011486,0.0011486
45,553.642,0.95038,0.53866,1.1517,0.96949,0.98148,0.98661,0.73892,0.88522,0.44088,1.00429,0.0011288,0.0011288,0.0011288
46,566.313,0.9444,0.53641,1.15335,0.97045,0.98148,0.98329,0.73038,0.89911,0.44776,1.01919,0.001109,0.001109,0.001109
47,578.548,0.93916,0.55088,1.14874,0.97846,0.98148,0.98562,0.7854,0.78501,0.41514,0.9623,0.0010892,0.0010892,0.0010892
48,589.134,0.93696,0.54951,1.15626,0.94556,0.96504,0.98316,0.80643,0.75599,0.42791,0.96409,0.0010694,0.0010694,0.0010694
49,602.048,0.92328,0.53034,1.1415,0.97528,0.9537,0.98088,0.76672,0.7974,0.4397,0.97831,0.0010496,0.0010496,0.0010496
50,615.708,0.90488,0.51901,1.12338,0.99063,0.97852,0.9868,0.78905,0.79791,0.4083,0.97926,0.0010298,0.0010298,0.0010298
51,627.73,0.94918,0.54403,1.16034,0.97996,0.98148,0.98653,0.80041,0.74423,0.39152,0.97616,0.00101,0.00101,0.00101
52,639.125,0.90632,0.52776,1.12827,0.97892,0.98148,0.98662,0.81043,0.75271,0.38865,0.95136,0.0009902,0.0009902,0.0009902
53,652.065,0.93406,0.54686,1.14667,0.96083,0.97222,0.98158,0.79328,0.77473,0.42344,0.97302,0.0009704,0.0009704,0.0009704
54,665.29,0.91865,0.52346,1.14521,0.94711,0.96296,0.96746,0.76882,0.75789,0.41286,0.97552,0.0009506,0.0009506,0.0009506
55,676.019,0.92155,0.52581,1.14601,0.97936,0.98148,0.97854,0.78858,0.76277,0.40519,0.97285,0.0009308,0.0009308,0.0009308
56,688.41,0.90538,0.52384,1.13459,0.99065,0.98097,0.98782,0.80261,0.79236,0.40566,0.96454,0.000911,0.000911,0.000911
57,701.604,0.89113,0.51624,1.11873,0.95482,0.97847,0.98518,0.8019,0.74614,0.42366,0.97043,0.0008912,0.0008912,0.0008912
58,714.364,0.89054,0.51971,1.12942,0.95426,0.99074,0.97251,0.75871,0.79736,0.41441,0.99756,0.0008714,0.0008714,0.0008714
59,725.318,0.88677,0.51066,1.13388,0.96984,0.98148,0.98261,0.81324,0.71324,0.39369,0.96771,0.0008516,0.0008516,0.0008516
60,738.422,0.88727,0.50193,1.1336,0.98035,0.98148,0.98574,0.81698,0.73364,0.38828,0.9537,0.0008318,0.0008318,0.0008318
61,751.704,0.87459,0.49316,1.10739,0.96382,0.99074,0.98348,0.8124,0.71641,0.39104,0.94794,0.000812,0.000812,0.000812
62,763.508,0.87372,0.49372,1.1083,0.96289,0.98148,0.9859,0.8037,0.7652,0.40431,0.96326,0.0007922,0.0007922,0.0007922
63,774.594,0.88723,0.50256,1.12631,0.98665,0.98148,0.98717,0.78397,0.78267,0.38096,0.96325,0.0007724,0.0007724,0.0007724
64,787.647,0.87303,0.49381,1.11638,0.97056,0.98148,0.98536,0.79104,0.76055,0.39223,0.95559,0.0007526,0.0007526,0.0007526
65,800.989,0.86494,0.48398,1.10638,0.97922,0.96296,0.98472,0.7765,0.73975,0.3908,0.96847,0.0007328,0.0007328,0.0007328
